,Sym,Name,Industry,M Cap,%5d
277,BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco",$2B,6.043956043956046
278,BRX,BELARAROX LIMITED,Materials,$22M,-13.888888888888888
279,BFG,BELL FINANCIAL GROUP LIMITED,Financial Services,$425M,-1.872659176029956
280,BVR,BELLAVISTA RESOURCES LTD,Materials,$37M,-6.250000000000005
281,BGL,BELLEVUE GOLD LIMITED,Materials,$1B,-3.8461538461538405
282,BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks,$7B,-0.828313253012044
283,BHD,BENJAMIN HORNIGOLD LIMITED,Not Applic,$5M,0.0
284,BEL,BENTLEY CAPITAL LIMITED,Not Applic,$1M,70.0
285,BNZ,BENZ MINING CORP.,Materials,$63M,6.060606060606066
286,BEO,BEONIC LTD,Software & Services,$19M,0.0
287,BKY,BERKELEY ENERGIA LIMITED,Energy,$154M,1.4705882352941024
288,BEZ,BESRA GOLD INC.,Materials,$33M,19.402985074626862
289,BFC,BESTON GLOBAL FOOD COMPANY LIMITED,"Food, Beverage & Tobacco",NaN,0.0
290,BET,BETMAKERS TECHNOLOGY GROUP LTD,Consumer Services,$97M,4.99999999999999
291,BWN,BHAGWAN MARINE LIMITED,Transportation,$172M,3.1746031746031775
292,BHP,BHP GROUP LIMITED,Materials,$202B,-0.06300403225806094
293,BRI,BIG RIVER INDUSTRIES LIMITED,Materials,$108M,-0.3921568627450897
294,BTH,BIGTINCAN HOLDINGS LIMITED,Software & Services,$160M,2.564102564102566
295,BIM,BINDI METALS LIMITED,Materials,$5M,8.974358974358982
296,BGT,BIO-GENE TECHNOLOGY LTD,Materials,$8M,2.6315789473684235
297,BIO,BIOME AUSTRALIA LIMITED,Household & Personal Products,$117M,0.8849557522124099
298,BIT,BIOTRON LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$15M,12.50000000000001
299,BXN,BIOXYNE LIMITED,Household & Personal Products,$53M,35.0
300,BDT,BIRDDOG TECHNOLOGY LIMITED,Technology Hardware & Equipment,$10M,1.5625000000000013
301,BIS,BISALLOY STEEL GROUP LIMITED,Materials,$212M,6.666666666666672
302,BKI,BKI INVESTMENT COMPANY LIMITED,Not Applic,$1B,1.1904761904761916
303,BCA,BLACK CANYON LIMITED,Materials,$6M,0.0
304,BC8,BLACK CAT SYNDICATE LIMITED,Materials,$347M,7.89473684210527
305,BDG,BLACK DRAGON GOLD CORP.,Materials,$18M,45.94594594594595
306,BKT,BLACK ROCK MINING LIMITED,Materials,$44M,2.8571428571428594
307,BSX,BLACKSTONE MINERALS LIMITED,Materials,$17M,11.538461538461549
308,BWF,BLACKWALL LIMITED,Financial Services,$71M,1.81818181818182
309,BLZ,BLAZE MINERALS LIMITED,Energy,$8M,0.0
310,BB1,BLINKLAB LIMITED,Health Care Equipment & Services,$27M,12.244897959183685
311,SQ2,BLOCK INC.,Financial Services,$82B,3.4266375237960833
312,BLU,BLUE ENERGY LIMITED.,Energy,$16M,0.0
313,BNL,BLUE STAR HELIUM LIMITED,Energy,$11M,-11.111111111111104
314,BBT,BLUEBET HOLDINGS LTD,Consumer Services,$164M,-2.4193548387096797
315,BCT,BLUECHIIP LIMITED,Technology Hardware & Equipment,NaN,0.0
316,BSL,BLUESCOPE STEEL LIMITED,Materials,$8B,-3.3282904689863675
317,BLG,BLUGLASS LIMITED,Semiconductors & Semiconductor Equipment,$42M,2.127659574468087
318,BMG,BMG RESOURCES LIMITED,Materials,$8M,-9.090909090909085
319,BBC,BNK BANKING CORPORATION LIMITED,Banks,$39M,-1.5151515151515165
320,BOA,BOA RESOURCES LTD,Materials,$2M,0.0
321,BML,BOAB METALS LIMITED,Materials,$36M,14.285714285714278
322,BOD,BOD SCIENCE LIMITED,Consumer Discretionary Distribution & Retail,NaN,0.0
323,BOL,BOOM LOGISTICS LIMITED,Capital Goods,$58M,-0.36231884057970243
324,BOE,BOSS ENERGY LTD,Energy,$967M,4.845814977973562
325,BTE,BOTALA ENERGY LTD,Energy,$15M,0.0
326,BOT,BOTANIX PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$718M,7.692307692307685
